"Rating","Date","Title","Content","Reviewer","Verified","Brand Response"
"5","14/05/2025","N/A","Au top. Je les ai porté lors du semi a lyon. Trop confortable","Kristin, France","Yes","No response"
"5","14/05/2025","On numera","Gayet sportif kullanışlı","Mehmet Ali, Türkiye","Yes","No response"
"5","14/05/2025","N/A","Könnyű, jól néz ki.","Márta, Hungary","Yes","No response"
"5","14/05/2025","N/A","Très bien","MELANIE, France","Yes","No response"
"4","13/05/2025","N/A","belle e comode","Antonella, Italy","Yes","No response"
"5","13/05/2025","N/A","Wygodne. Lekkie.","PIOTR, Poland","Yes","No response"
"4","13/05/2025","N/A","Légère et confortable je recommande","PIERRETTE, France","Yes","No response"
"5","12/05/2025","Muy ligeros","Son increíblemente cómodos, ligeros como una pluma y muy frescos, perfectos para entrenar o caminar durante horas sin que los pies se resientan. Se ajustan bien y la ventilación es excelente.","ADRIAN, Spain","Yes","No response"
"5","12/05/2025","N/A","İnanılmaz rahat bir ayakkabı. Pahalı markalara para vermeye asla gerek yok. Benzer bir modelini de eşime aldım. Ama maalesef kızım için numarasını bulamadım.","hilal, Türkiye","Yes","No response"
"5","12/05/2025","N/A","Inizialmente non le trovavo comode, sentivo molto l'imbottitura nel tallone, ma con l'uso prolungato si è adattata ed ora la calzo molto bene. Ottima per camminate in città e in natura, anche se ahimè si sporcano facilmente e restano invariabilmente macchiate. Unica pecca!","Sa, Italy","Yes","No response"
"5","12/05/2025","Buty OK","na piętrze bieganie buty super.","Jakub, Poland","Yes","No response"
"5","12/05/2025","N/A","Buona qualità per il prezzo speso","Nadia, Italy","Yes","No response"
"5","12/05/2025","N/A","Bardzo wygodne, nawet na długie spacery. Bardzo lekkie","Małgorzata, Poland","Yes","No response"
"1","12/05/2025","jetable","morte au bout de 4 mois ,semelles plus que usées et tissu intérieur troué sur les 2 pieds'","christine, France","Yes","No response"
"5","08/05/2025","N/A","Très confortables, utilisées pour la marche","christelle, France","Yes","No response"
"3","08/05/2025","N/A","Buena zapatilla para empezar a correr, hasta 1 hora.","Ángel, Spain","Yes","No response"
"5","08/05/2025","N/A","Sangat nyaman digunakan saat lari dan untuk jalan jauh","Marvel, Indonesia","Yes","No response"
"5","07/05/2025","N/A","Scarpa molto leggera ed essenziale, per chi non ha problemi ai piedi è l'ideale, ottimo rapporto qualità prezzo.","fabio, Italy","Yes","No response"
"5","07/05/2025","N/A","Çok rahat ve hafif aşırı beğendi eşim","ali, Türkiye","Yes","No response"
"5","07/05/2025","N/A","Çok rahat ve hafif eşim için aldım çok memnun","ali, Türkiye","Yes","No response"
"5","07/05/2025","N/A","지인이 가벼운 조깅및 헬스장 러닝용 신발 찾기에 선물해드렸는데 너무 만족하고 가볍고 쿠셔닝 너무좋다고 칭찬이 엄청나네요. 정사이즈라고 하네요","HyunSik, South Korea","Yes","No response"
"5","06/05/2025","N/A","Suficientes para empezar a correr una o dos veces por semana menos de 1 hora","Ángel, Spain","Yes","No response"
"4","06/05/2025","N/A","Suficiente para principiantes, dos veces por semana 1 hora.","Ángel, Spain","Yes","No response"
"5","06/05/2025","N/A","acheté pour ma femme, pour pratique récréative de footting ou marche sportive","cedric, France","Yes","No response"
"5","06/05/2025","N/A","Niezwykle lekkie","Jakub, Poland","Yes","No response"
"5","06/05/2025","N/A","çok hafif çok kullanışlı","Tuncer, Türkiye","Yes","No response"
"5","06/05/2025","N/A","Çok başarılı rahat, sağlam bir ayakkabı. Eşime aldım günlük severek kullanıyor. Erkek modelinide kendim kullanıyorum koşarken. Harika bir ürün. Kesinlikle tavsiye ederim.","Ni̇hat, Türkiye","Yes","No response"
